complaint_id,consumer_complaint_narrative,true_label
1629677,"Mortgage Company XXXX XXXX sold my loan to Green Tree Servicing LLC, Green Tree Servicing LLC was purchased by Ditech is now called Ditech. I have not and did not receive any information regarding this company name change and also have not received any correspondence from Green Tree Serving or Ditech in reference to my Mortgage Loan statement or Balance due since XX/XX/XXXX. I 'm currently in he process of loosing my home due from loss of income XX/XX/XXXX and have been working with Green Tree Servicing LLC since XX/XX/XXXX to resume my mortgage loan obligation since re-employment XX/XX/XXXX. Green Tree has denied me every program advertised to prevent foreclosure. I am currently working with Indiana XXXX XXXX XXXX and very positive this is my last chance to save my home due to working with clinic exploring all prevention possibilities that my own mortgage servicer could not or would not. It has been very difficult communicating with Ditech, there mission is to Foreclose on my home and not work with me now that I am employed and can resume monthly payments. 
",negative
1671364,"Wells Fargo Student Loans : I am a recent college graduate paying back student loans. I have XXXX in total all different lenders. Wells Fargo does NOT work with you. I have been late on my payments due to not being able to afford paying back my student loans at times. 

Issue causing distress : * Wells Fargo immediately reports a late payment to the credit company if you are a day late with payment ( other student loans do not do this you have a 30 day grace period before they report it to credit ) *I will call in and tell them I ca n't make my due date but can make the payment the next day and still get a late payment sent to my credit. 
* On top of the late payments being sent to credit if you are past your due date they will call you 10+ times a day every day ... even if you answer the phone to tell them to notate your account that a payment will be made on a given day they say "" this will not stop the calls '' and the calls continue to happen until the payment is made. They will also call your Co-Signer and your Co-Signer will get the 10+ calls a day ... my grandma can attest to this. 
*I had also requested an automatic payment form to be sent to me at least a dozen times before I was adamant to stay on the phone with a rep until it was received in my inbox so I can fill out and send back ... 

I do n't believe Wells Fargo is fair with their lending. Student Loans should not affect your future. Lenders should be willing to work with you they should be for your future and not against it because they want to make a {$.00} I do n't believe it 's right for a student loan company 's ( this one in particular ) to report a late payment to the credit company a day after their missed due date just to affect their credit more when they are trying to work with the lender to make their payments. They should have a grace period like other student loan lenders. It sets students up for failure in the future when it comes to applying for homes or other things that matter in life ... it 's hard enough that we have to go to college pay {$50000.00} + to graduate and have to re-pay that back right away job or not and not have a lender work with you on payments. 
",negative
1593036,"I signed up for a mortgage with PNC. They provided an acceptance letter. Days before the closing they called me and told me that I no longer qualified for a 30 year mortgage due to "" debt to income ratio '' which had not changed since the initial approval. They told me that I now only qualified for a 7 year ARM mortgage ONLY. This information was broken to me days before closing. I had no way at that point of obtaining a new mortgage within a few days. I was so scared that I would lose my deposit that I was essentially forced into accepting the terms. Now, with the rate changing I stand to potentially have to pay much more money in interest when I am forced to refinance in 7 years. 
",neutral
1554248,"In XXXX 2015 mya mortgage was sold from XXXX to Seterus, owing no more than {$160.00} on principal, then Seterus did send to me a letter of welcome but with no information about the money that I did owe on the mortagage, they ask me for a payment of {$3600.00} wich was send it to them on XXXX, then i ask for a pay off cuote and they required from me another payment for the amount of {$3500.00} wich was send it to them on XXXX. I was told by them that this payment was to pay the XXXX tax of 2015. They did not pay tax and send me a refund for the amount of {$2300.00} wich happens to be exactly the same amount of escrow that was transfer from XXXX to Seterus. So there is a balance of at least {$3500.00} that should be returned to me as well. I been calling them every other day and every time they have a diferent answer and bottom line they dont want to refund that money so I hope you could help me a on any way to recover my money that Seterus wants to keep with no rights to retaining it, I do believe that there is some type of discrimination toward me because i don speak perfect englishXXXX. Thank you so much for your time and your attention to this matter. 
XXXX XXXX 
",negative
1473957,"i have been XXXX and put in perpetual poverty by these people ... .first XXXX a huge problem came up due to school not properly filing with the state and it took a year to get it fixed so i could get my date to test at that point no one would hire me and employers asked if i was willing to go take classes to be hired the classes are so expensive i could not. plus the fact they had me take out an in school loan for uniforms, special books and XXXX i had to make weekly payments and if i did not they would harass me and tell me if i dont pay i would not be allowed in the payments were {$50.00}. 
second time was XXXX in which they were not accredited to teach it but the worst part is i was not of sound mind when they forced me to sign and the all document 's prove it as they are different dates my father was XXXX ill he did die XX/XX/XXXX, i had told them this but the rep XXXX XXXX would not leave me alone she called at least 9 times a day to make sure i was coming in to sign paperwork and pay the fee to hold my place. XXXX XXXX XXXX grad placement manager and XXXX XXXX caby campus president even the finance officer XXXX XXXX knew because all i did was cry when i was there these people should be held accountable for the mental abuse and financial strain they have put me in not one of them ever said you should wait til you are in a better position in life but all they wanted was money. the reps got commision off of each student they placed i know this because i confronted the president of the campus XXXX XXXX caby she became so agitated by the statement she advised i would be in trouble with the school if i continued making statements i could not back up. 
i went to XXXX ( at XXXX XXXX XXXX XXXX XXXX mo XXXX ) under XXXX. i have never been able to get a job with this so called degree in fact they sold the school due to lawsuits to XXXX ( owned by the XXXX family trust & XXXX & XXXX ) for {$1.00} buck i was told the class credits would transfer that was a lie the teachers for the most part where less than professional the staff was worse the so called reps where thugs calling several times a day if you did not sign up with them im in debt to the tune of $ XXXX and no one can help and all anyone does is talk about the list of schools you have here no one has mentioned the guys and they are all over check out high tech institute owned by chubb and anthem edcu group they both have filed chapter XXXX bankruptcy which means at some point this ugly snake will re appear as something elsei have a letter from XXXX this was XXXX as we all know this letter was dated XX/XX/XXXX it states that ; you received this form because a Federal Government agency or an applicable financial entity ( a lender ) has DISCHARGED ( canceled or forgiven ) a debt you owed, or because an identifiable event has occurred that either is or is deemed to be a discharge of a debt of {$600.00} or more. now keep this in mind because i was working i was laid-off off on XX/XX/XXXX they have been garnishing my wages every pay period plus took money from my severance per casenet. someone want to tell me where this is legal and they have refiled with the company i worked for wanting to know why they are not getting any money they were sent back i was terminated, i want my {$690.00} back you cant have your cake and eat it too. i have tried and so has my attorney tried to contact this XXXX about this letter and the fact they continued to take my money however she refused to talk to me because i have an attorney due to the lawsuit we filed against XXXX. 
",negative
1567848,"I now have a judgement against me from XXXX, XXXX, XXXX, XXXX XXXX XXXX XXXX for private student loans totaling they say for {$130000.00}. That is the lump sum they want or {$800.00} a month payments which I can not afford either. I have tried working out arrangements with them and at first they would take a {$100.00} a month but since I was not able to right then and I asked for paperwork for proof of my payments they wont accept that now they want those big amounts. They also wanted to raise my payments each year by a bunch and I could not say it was okay because I am unemployed and due to circumstances I will not be able to return to work. I have XXXX children to feed, cloth, and raise I simply can not afford that so I am begging you for help!!! These private student loans are killing me and others and shortly my Federal loans are coming up. I am currently on a financial hardship for them. 
",negative
1590702,"XXXX XXXX ( Borrower ) XXXX XXXX XXXX XXXX, XXXX XXXXXXXXQuicken Loans ( Lender ) XXXX XXXX XXXX, XXXX XXXX Whom It May Concern : My name is XXXX XXXX and I am writing this letter to file a complaint against Quicken & Loans. They are currently my mortgage lender for my property XXXX XXXX XXXX XXXX, XXXX XXXX. My loan number XXXX, my HUD file number is XXXX and mortgage insurance case number is XXXX. Quicken & Loans is apparently not allowing me to close my escrow account. This is a direct violation of your guidelines. First let me give you some background information on the loan. In XXXX XXXX, XXXX I closed on my house, my mortgage payment was {$2600.00}. I requested an escrow analyst in XXXX XXXX, XXXX, which turns out I was paying too much on my mortgage. So on XXXX XXXX, XXXX they reduce my mortgage payment to {$2300.00}. Then in XXXX XXXX, XXXX I qualified for a refinancing, which I accepted because my APR was at 4.01 %, and it was going down to 3.75 %. On XXXX XXXX, XXXX my mortgage went down to {$2200.00}. So everything was great until my XXXX and XXXX XXXX taxes kicked in for XX/XX/XXXX. Apparently Quicken & Loans has outsourced their tax department to another company. Which I was not aware, because they stated in my refinance closing documents, that they where going to handle the taxes and insurance of my property. Which they were n't truthful about and if I knew they where not going to handle my taxes and insurance I would have closed the escrow account. Also Quicken & Loans was fully aware that I have a tax abatement with XXXX. This was the reason why I purchased the property in the first place. Some how Quicken & Loans and their third party ( Tax ) vendor, screwed up with my taxes and it turns out I owe Quicken & Loans {$3900.00} dollars. Since I could n't pay the {$3900.00} dollars up front, so I agreed to have it included in my mortgage. Now I went from paying a mortgage from {$2200.00}, to {$2700.00}. In XXXX XXXX, XXXX ; I paid {$3200.00} just for the escrow account, plus I made my regular monthly mortgage payment {$2200.00}. Then in XXXX XXXX, XXXX I made a another payment of {$3200.00}, the break down was for {$1500.00} for the escrow and {$530.00} was for the Principal of the loan and {$1.00}, XXXX was for the interest. Now between my payments of {$3200.00} plus {$1500.00} equals {$4800.00}, this more then enough to cover the {$3900.00} for the short fall of Quicken & Loans and their third party vendor XXXX up. So now in XXXX XXXX, XXXX my loan payments are up to XXXX ; Why? If I just paid off the short fall? Again according to XXXX & Loans they are not collecting enough on my taxes. So remember I just paid {$2700.00} for the month of XXXX and XXXX of XXXX. Then I send them another {$1400.00} for the escrow again so my payment from XX/XX/XXXX - XX/XX/XXXX, drops to {$2500.00}. Then in XX/XX/XXXX I get another notice indicating there is another shortage for {$1500.00}. So I paid my monthly mortgage that went up to {$2800.00} in XXXX XXXX ; and again I paid another {$1400.00} for the shortage again. Now my month mortgage for the month of XXXX XXXX is {$2600.00}. Now according to your guidelines I am not required to have an escrow account. I am request that Quicken & Loans honor my request by closing the escrow account. The reason for my request is, I can do a better job of paying my own taxes and insurance on my own. However, Quicken & Loans just told me over the phone that I can not close my escrow account unless I refinance with them. This crazy ; just because I have FHA loan and according to your guidelines there is nothing stating that I have to refinance in order for me to close my escrow account. I am requesting an investigation into my case and also requesting that Quicken & Loans close my escrow account. 
Thank you for your help in this matterXXXX XXXX 
",positive
1451151,"To whom it may concern I received terrible service with mortgage department I 'm on loan modification the last was to come on the XXXX this month of XXXX instead XXXX came out of my account. The above happen XXXX on XXXX/XXXX/15 and XXXX/XXXX/15. after several months and XXXX different account managers I finally got loan modification and now still the employees are not doing their job and paying. Unfournately this the normal with bank of America they want you to lose your home. Tired and stressed out. 
",positive
1462013,"I wanted to reduce my mortgage by removing pmi. After struggling with moving money from bank to bank, I was able to make another 10 % payment to Stonegate Mortgage. I had put 10 % down on the house and with the 10 % payment, was at least 20 % of original loan. The whole goal was to reduce my mortgage by approx. {$200.00}. Not only has my pmi not been removed, I was told that I had to pay an additional {$110.00} to request a broker document before they remove the pmi or I have to wait years until the loan value is 78 %. They just gave me a bunch of other things to do. The problem is I work 14+ hour days every day ( XXXX hours just driving from XXXX to job ), and am at the limit for bankers bs. They took my money, which I can not invest, I told them the intent was to reduce pmi. Now they want to charge me more money before removing pmi even though I have paid the 20 %. 
",positive
1553870,"I did a refi/streamline on my home loan in XXXX, received my payment coupon for XXXX which said 0 due and I will attach this, when I received my payment coupon for XXXX it said that I missed my XXXX payment and now owed a double payment, I called the company and faxed in the payment coupon they had sent me, I also texted my loan officer, they called me a couple of days later and apologized but that that coupon was for the previous loan and not the new one and they were sorry that I did n't get the correct coupon but that the XXXX payment was still showing late and that they could n't change it and that I still owe the double payment, this is affecting my credit and is not fair to me the consumer, the lady from Carrington apologized and said she felt bad but that there was nothing she could do. I followed their payment coupon and now I am being penalized for their mistake 
",neutral
1310636,"Ocwen has lost, misplaced, or misposted over XXXX worth of payments from XXXX to present. We have also been charged for a forclosure that never actually occured ( {$14000.00} in fees that were supposed to removed with the XX/XX/XXXX loan modification ). We have provided bank statements on XXXX separate occasions ( and XXXX different escalation specialists ) that provide confirmation that ocewn received and accepted our payments ( however Ocwen states we never made the payments even after we furnished proof that we had ). they are reporting us 90 days behind and we are not, we should actually have {$3000.00} in a suspense account? We have been bounced around for XXXX months to different escalation specialists and there is still no resolution. We need help! 
",neutral
1656171,"Reference case # XXXXXXXXBank of America 's reply. On the document they attached to my previous complain it states on page XXXX, under instructions and notice to debtor ( item XXXX ) "" The law requires you take certain steps to make sure the decision is in your best interest. IF THESE STEPS ARE NOT COMPLETED, THE REAFFIRMATION AGREEMENT IS NOT EFFECTIVE, EVEN THOUGH YOU HAVE SIGNED IT. ) Step XXXX. If you were represented by an attorney during negotiation of your reaffirmation agreement, you must have signed the certification in Part XXXX - This was never completed by my attorney, Bank of America never had a representative during the meeting with the Judge at that time, nor did First Franklin. That 's why several of the steps were not completed and when they submitted the Foreclosure of the property they stated they were trying to get the note signed again. 

I had my attorney present at that time representing me and was when she presented me with the reaffirmation documents she had me signed them but she never completed them, as you can see no where in any of the documents Bank of America submitted has or had my attorney 's signature or any representative from the court. 
",neutral
1489254,"I am requesting a new home to be replaced by JP Morgan Chase Bank!! My property was XXXX XXXX XXXX, XXXX, New Jersey and I was wrongfully foreclosed upon by Washinton Mutual, JP Morgan Chase Bank! XXXX XXXX is a female veteran who served her country and I am waiting for full restitution and a mortgage free home immediately! I applied to XXXX XXXX XXXX loans and they in bad faith did not give me the second mortgage I needed to keep my home. I am seeking monetray damages for the emotional distress that this placed me under. Washington Mutual failed to modify my loan as well, when I requested a loan modification! 
",negative
1630388,"My daughter passed away on XXXX XXXX, 2015. She died from XXXX. She died intestate, my grandson asked me to be the estate administrator, so I hired an attorney and began the probate process in XXXX 2015. 
after her passing, I found out she had not paid her mortgage since XX/XX/2015.However, I could not take any legal actions ( list/sell the house, discuss issues with the lender ) until the court approved my letter of administration. It took over four months to get the court 's approval. I received my letter of administration in XXXX 2015. 
I listed the property with a real estate agent. She was not able to find a buyer. I recently hired a new real estate agent. he is actively marketing the property. We had XXXX open houses this week. However, interested buyers are very reluctant about entering in to a contract on a home with a scheduled foreclosure of XXXX XXXX, 2015. 
",positive
1726825,"We sold our home. During the closing process, our title attorney requested, and received, a payoff letter from Suntrust Mortgage. On receiving this letter, he noted that there was a typo in the through date provided at the start of the letter, but not in the terms listed at the bottom. Given the nature of the transaction, he verified with Suntrust that the payoff amount was correct and the typo would not effect the closing of our home. Suntrust Mortgage assured him that the payoff amount stated in their letter was correct and nothing would hold up the closing of our home. Our attorney verified this on at least 3 occasions, and so we proceeded with the closing and paid Suntrust in full according to the payoff quote Suntrust had given us. 

The next day, our title attorney contacted us stating that Suntrust was demanding an additional XXXX dollars. As we had been assured on several occasions that the payoff was correct and our attorney seemed unclear on why, exactly, Suntrust was requesting additional money, we called Suntrust Mortgage to speak to a representative about this request. After several hours of back and forth and general confusion, we were told this XXXX discrepancy was due to the typo that we were assured would not be an issue. 

After another few hours of explaining this situation over and over to different reps, all who seemed unable or unwilling to forward us to their legal department to dispute this and, instead, continued to inform us that this money was owed because of a typo that we were fully and excruciatingly aware of at this point, we were informed that Suntrust was very sorry that they had made this mistake no less than 4 times over the period of a month but they are issuing a new payoff quote. 

They have yet to issue a new payoff or, in accordance with their own terms also set forth on the initial payoff quote, refunded the over {$100000.00} paid to them so that we can issue them another check. Until this matter is resolved, we can not close on our new home. 
",positive
1702462,"We have been trying to a modification on our property for 3-4 years and still have not been settled. Started with CitiMortgage. First attempt, "" denied '', income too great. They looked at previous years, not the reduced income to occur in the immediate future. Second attempt, "" denied '' currant on payments, we were told we would have to get behind in payments, which we ended up doing. Third attempt, they lost paperwork and we were told we had to get currant with payments. We could not do that and they would not accept partial payment. they said all or nothing. Then it went into Forclosure and we found out it that XXXX turned the loan over to Seterus as the new servicer of the loan. It went into court for a Foreclosure date. Seterus agreed to attempt try for modification. XXXX requested that we go thru XXXX to assist us. we went thru the program and took the financial help class. We received approval and final modification documents, Took them to XXXX, signed them, notorized them and they were sent back. Payments to begin XXXX XXXX, XXXX. Tried to get auto pay set up for payments. Denied for that process, informed that figures in final modification documents were incorrectly calculated. were in the process of correcting and sending out the new documents. in the meantime went to Foreclosure court on the XXXX of XXXX XXXX. House was turned back over to XXXX. Received XXXX documents that evening. Signed, notorized and sent back that day. Been informed by Seterus that them documents figures are still incorrect again. we are still waiting receipt of the XXXX set of documents. Told it would be middle of XXXX, with XXXX payment of XXXX XXXX. We have continued to make our trial payments since XXXX XXXX. Also informed that none of the payments are credited toward the loan itself. Still do n't know if XXXX documents will be correct. This process has been a burden and stress on the family. I feel that this process has gone on long enough, longer than anyone else that I know that has went through a modification. Nobody knows what else I can do, or other actions to take. ( ie Lawyers and financial advisors ) 
",negative
1579800,"HELOC account involved in short sale XX/XX/XXXX. Republic Bank still reporting to my credit that it is late even after the bank charged it off XX/XX/XXXX. Stating payments of $ XXXX per month with {$28000.00} past due. During settlement, they got {$3000.00}. Prior to that I gave them XXXX and XXXX. I did everything I could to stay above water. I had several mortgages with them totaling over {$500000.00} and paid them all off. The HELOC funded those mortgages. Called Republic the other day and have had to call them back again and spoke with XXXX representatives, XXXX tried to get screen shots of my credit and the other, debt collector, did n't disclose as such and tried to get my divorce decree and said that once child support order is over for my exhusband he has a motion to garnish his retirement waiting. Needless to say, my husband and I got divorced over this, he left his job of 20 some years as he had to have high security clearance, we have lived in poverty with XXXX kids, they wiped out my bank account XX/XX/XXXX. They said the XXXX is missing. When I asked for an appraisal years ago, it too, was missing. I have a feeling the property was over appraised in the first place in order to facilitate me getting more mortgages with them. The second representative said I was faced with paying or bankruptcy again. I did n't file the first time when I easily could have, ditching about {$500000.00} worth of loans with them and I did n't. I paid them XXXX a month on that loan for many years. This is never going to end. I am trying to get into a low income housing program, and I ca n't because of this thing on my credit. Foreclosure would have provided me more protection. I bailed it out of foreclosure at least once in hopes of selling it, I rented it out trying to buy time, etc. At the time, Republic was so fierce and yelling at me all of the time. I have emails documenting some of that. They would call my husbands work about collections which is why he left. They were very difficult to work with trying to come up with a settlement. I also have those emails from the short sale person. I have managed to turn things around for the kids and I but now this is back. 
",negative
1780139,"Realtime Resolutions is reporting a Duplicate Loan From XXXX XXXX XXXX. I have contacted and filed a complaint against XXXX XXXX XXXX for the same loan. My records indicate that my last payment was over 7 years however they are still reporting this account. 
",negative
