complaint_id,nps_score,nps_segment,product,date_received,submitted_via,company_response_to_consumer,timely_response
1292683,6,Detractor,Student loan,03/20/2015,Web,Closed with explanation,Yes
1292693,6,Detractor,Student loan,03/20/2015,Web,Closed with explanation,Yes
1292700,5,Detractor,Checking or savings account,03/20/2015,Web,Closed with explanation,Yes
1292509,9,Promoter,Mortgage,03/20/2015,Web,Closed with explanation,Yes
1292713,7,Passive,Mortgage,03/20/2015,Web,Closed with explanation,Yes
1292738,7,Passive,Student loan,03/20/2015,Web,Closed with explanation,Yes
1292837,10,Promoter,Checking or savings account,03/20/2015,Web,Closed with non-monetary relief,Yes
1292855,8,Passive,Mortgage,03/20/2015,Web,Closed with explanation,Yes
1294207,7,Passive,Mortgage,03/20/2015,Web,Closed with explanation,Yes
1292898,7,Passive,Mortgage,03/20/2015,Web,Closed with explanation,Yes
1292529,8,Passive,Mortgage,03/20/2015,Web,Closed with explanation,Yes
1292579,6,Detractor,Credit card or prepaid card,03/20/2015,Web,Closed with explanation,Yes
1292528,6,Detractor,Personal loan,03/20/2015,Web,Closed with explanation,Yes
1292998,7,Passive,Mortgage,03/20/2015,Web,Closed with explanation,Yes
1293023,4,Detractor,Checking or savings account,03/20/2015,Web,Closed with non-monetary relief,No
1293126,6,Detractor,Mortgage,03/20/2015,Web,Closed with explanation,Yes
1293159,8,Passive,Mortgage,03/20/2015,Web,Closed with monetary relief,Yes
1293208,7,Passive,Personal loan,03/20/2015,Web,Closed with non-monetary relief,Yes
1293225,6,Detractor,Credit card or prepaid card,03/20/2015,Web,Closed with explanation,Yes
1293250,10,Promoter,Credit card or prepaid card,03/20/2015,Web,Closed with monetary relief,Yes
1303684,6,Detractor,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1302086,7,Passive,Checking or savings account,03/26/2015,Web,Closed with explanation,Yes
1301660,7,Passive,Credit card or prepaid card,03/26/2015,Web,Closed with explanation,Yes
1302087,6,Detractor,Student loan,03/26/2015,Web,Closed with explanation,Yes
1302088,7,Passive,Credit card or prepaid card,03/26/2015,Web,Closed with explanation,Yes
1302101,10,Promoter,Checking or savings account,03/26/2015,Web,Closed with monetary relief,Yes
1302103,7,Passive,Checking or savings account,03/26/2015,Web,Closed with explanation,Yes
1303635,7,Passive,Credit card or prepaid card,03/26/2015,Web,Closed with non-monetary relief,Yes
1303707,7,Passive,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1301910,8,Passive,Checking or savings account,03/26/2015,Web,Closed with monetary relief,Yes
1302157,8,Passive,Credit card or prepaid card,03/26/2015,Web,Closed with explanation,Yes
1301655,9,Promoter,Checking or savings account,03/26/2015,Web,Closed with monetary relief,Yes
1302175,6,Detractor,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1293376,5,Detractor,Mortgage,03/20/2015,Web,Closed with explanation,Yes
1301685,4,Detractor,Mortgage,03/26/2015,Web,Closed with explanation,No
1302203,7,Passive,Credit card or prepaid card,03/26/2015,Web,Closed with explanation,Yes
1294143,6,Detractor,Mortgage,03/20/2015,Web,Closed with explanation,Yes
1293416,7,Passive,Credit card or prepaid card,03/20/2015,Web,Closed with explanation,Yes
1302249,8,Passive,Credit card or prepaid card,03/26/2015,Web,Closed with explanation,Yes
1293450,7,Passive,Credit card or prepaid card,03/20/2015,Web,Closed with explanation,Yes
1293460,8,Passive,Mortgage,03/20/2015,Web,Closed with explanation,Yes
1302268,7,Passive,Credit card or prepaid card,03/26/2015,Web,Closed with explanation,Yes
1302287,7,Passive,Personal loan,03/26/2015,Web,Closed with explanation,Yes
1302289,9,Promoter,Credit card or prepaid card,03/26/2015,Web,Closed with explanation,Yes
1302309,7,Passive,Student loan,03/26/2015,Web,Closed with explanation,Yes
1293518,6,Detractor,Checking or savings account,03/20/2015,Web,Closed with explanation,Yes
1302334,8,Passive,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1302360,8,Passive,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1303620,8,Passive,Personal loan,03/26/2015,Web,Closed with explanation,Yes
1293547,9,Promoter,Mortgage,03/20/2015,Web,Closed with non-monetary relief,Yes
1302046,8,Passive,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1292601,8,Passive,Credit card or prepaid card,03/20/2015,Web,Closed with explanation,Yes
1303697,7,Passive,Checking or savings account,03/26/2015,Web,Closed with explanation,Yes
1293591,7,Passive,Personal loan,03/20/2015,Web,Closed with explanation,Yes
1293603,7,Passive,Mortgage,03/20/2015,Web,Closed with explanation,Yes
1302420,8,Passive,Credit card or prepaid card,03/26/2015,Web,Closed with non-monetary relief,Yes
1302296,6,Detractor,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1302427,9,Promoter,Checking or savings account,03/26/2015,Web,Closed with monetary relief,Yes
1303669,6,Detractor,Credit card or prepaid card,03/26/2015,Web,Closed with explanation,Yes
1293629,7,Passive,Mortgage,03/20/2015,Web,Closed with explanation,Yes
1302455,8,Passive,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1302463,10,Promoter,Credit card or prepaid card,03/26/2015,Web,Closed with non-monetary relief,Yes
1302503,8,Passive,Student loan,03/26/2015,Web,Closed with explanation,Yes
1302537,6,Detractor,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1293704,9,Promoter,Credit card or prepaid card,03/20/2015,Web,Closed with explanation,Yes
1302558,7,Passive,Credit card or prepaid card,03/26/2015,Web,Closed with explanation,Yes
1301671,9,Promoter,Personal loan,03/26/2015,Web,Closed with explanation,Yes
1302561,9,Promoter,Personal loan,03/26/2015,Web,Closed with explanation,Yes
1302574,8,Passive,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1293733,6,Detractor,Mortgage,03/20/2015,Web,Closed with explanation,Yes
1293738,5,Detractor,Mortgage,03/20/2015,Web,Closed with explanation,Yes
1293739,8,Passive,Checking or savings account,03/20/2015,Web,Closed with non-monetary relief,Yes
1293771,7,Passive,Mortgage,03/20/2015,Web,Closed with explanation,Yes
1302606,9,Promoter,Credit card or prepaid card,03/26/2015,Web,Closed with monetary relief,Yes
1293814,7,Passive,Mortgage,03/20/2015,Web,Closed with explanation,Yes
1302683,8,Passive,Mortgage,03/26/2015,Web,Closed with non-monetary relief,Yes
1302687,7,Passive,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1301754,7,Passive,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1293854,7,Passive,Checking or savings account,03/20/2015,Web,Closed with explanation,Yes
1302720,5,Detractor,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1301711,7,Passive,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1302743,8,Passive,Student loan,03/26/2015,Web,Closed with explanation,Yes
1293871,9,Promoter,Mortgage,03/20/2015,Web,Closed with monetary relief,Yes
1302722,8,Passive,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1302771,8,Passive,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1293900,7,Passive,Checking or savings account,03/20/2015,Web,Closed with explanation,Yes
1293902,5,Detractor,Credit card or prepaid card,03/20/2015,Web,Closed with explanation,Yes
1293914,7,Passive,Checking or savings account,03/20/2015,Web,Closed with non-monetary relief,Yes
1302806,8,Passive,Checking or savings account,03/26/2015,Web,Closed with explanation,Yes
1293926,8,Passive,Checking or savings account,03/20/2015,Web,Closed with explanation,Yes
1302829,6,Detractor,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1302850,7,Passive,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1293979,8,Passive,Mortgage,03/20/2015,Web,Closed with explanation,Yes
1302867,7,Passive,Credit card or prepaid card,03/26/2015,Web,Closed with explanation,Yes
1292592,7,Passive,Mortgage,03/20/2015,Web,Closed with explanation,Yes
1294448,7,Passive,Student loan,03/20/2015,Web,Closed with explanation,Yes
1294027,8,Passive,Credit card or prepaid card,03/20/2015,Web,Closed with monetary relief,Yes
1302909,7,Passive,Checking or savings account,03/26/2015,Web,Closed with explanation,Yes
1301693,8,Passive,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1302958,8,Passive,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1302967,7,Passive,Personal loan,03/26/2015,Web,Closed with explanation,Yes
1302996,8,Passive,Checking or savings account,03/26/2015,Web,Closed with explanation,Yes
1303005,8,Passive,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1303009,8,Passive,Student loan,03/26/2015,Web,Closed with explanation,Yes
1303032,8,Passive,Credit card or prepaid card,03/26/2015,Web,Closed with explanation,Yes
1303080,7,Passive,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1303133,9,Promoter,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1303147,7,Passive,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1303238,9,Promoter,Mortgage,03/26/2015,Web,Closed with monetary relief,Yes
1303246,8,Passive,Mortgage,03/26/2015,Web,Closed with monetary relief,Yes
1304145,9,Promoter,Student loan,03/26/2015,Web,Closed with explanation,Yes
1303324,10,Promoter,Mortgage,03/26/2015,Web,Closed with monetary relief,Yes
1303618,6,Detractor,Credit card or prepaid card,03/26/2015,Web,Closed with explanation,Yes
1301766,5,Detractor,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1303384,7,Passive,Credit card or prepaid card,03/26/2015,Web,Closed with explanation,Yes
1303393,7,Passive,Checking or savings account,03/26/2015,Web,Closed with explanation,Yes
1303397,5,Detractor,Mortgage,03/26/2015,Web,Closed with explanation,Yes
1303402,9,Promoter,Credit card or prepaid card,03/26/2015,Web,Closed with monetary relief,Yes
1303525,6,Detractor,Personal loan,03/26/2015,Web,Closed with explanation,Yes
1301770,6,Detractor,Credit card or prepaid card,03/26/2015,Web,Closed with explanation,Yes
1303991,8,Passive,Student loan,03/26/2015,Web,Closed with explanation,Yes
1304029,6,Detractor,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1304165,7,Passive,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1304055,4,Detractor,Checking or savings account,03/27/2015,Web,Closed with explanation,Yes
1304180,7,Passive,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1304182,6,Detractor,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1304183,7,Passive,Credit card or prepaid card,03/27/2015,Web,Closed with explanation,Yes
1303973,8,Passive,Checking or savings account,03/27/2015,Web,Closed with explanation,Yes
1304210,3,Detractor,Student loan,03/27/2015,Web,Closed with explanation,No
1304221,9,Promoter,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1304224,7,Passive,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1304053,6,Detractor,Credit card or prepaid card,03/27/2015,Web,Closed with explanation,Yes
1304227,7,Passive,Credit card or prepaid card,03/27/2015,Web,Closed with explanation,Yes
1304233,7,Passive,Credit card or prepaid card,03/27/2015,Web,Closed with explanation,Yes
1304246,7,Passive,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1304249,8,Passive,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1304250,7,Passive,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1304071,6,Detractor,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1304267,9,Promoter,Checking or savings account,03/27/2015,Web,Closed with monetary relief,Yes
1304051,6,Detractor,Checking or savings account,03/27/2015,Web,Closed with explanation,Yes
1304306,7,Passive,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1304327,6,Detractor,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1304291,7,Passive,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1304022,7,Passive,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1304369,7,Passive,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1304390,7,Passive,Student loan,03/27/2015,Web,Closed with explanation,Yes
1304421,7,Passive,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1304430,6,Detractor,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1304438,8,Passive,Student loan,03/27/2015,Web,Closed with explanation,Yes
1304448,9,Promoter,Personal loan,03/27/2015,Web,Closed with explanation,Yes
1304455,7,Passive,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1305545,7,Passive,Personal loan,03/27/2015,Web,Closed with explanation,Yes
1294044,4,Detractor,Mortgage,03/20/2015,Web,Closed with explanation,No
1294076,8,Passive,Mortgage,03/20/2015,Web,Closed with explanation,Yes
1294126,7,Passive,Checking or savings account,03/20/2015,Web,Closed with explanation,Yes
1294454,7,Passive,Personal loan,03/21/2015,Web,Closed with explanation,Yes
1294468,7,Passive,Personal loan,03/21/2015,Web,Closed with explanation,Yes
1294483,8,Passive,Mortgage,03/21/2015,Web,Closed with explanation,Yes
1294488,6,Detractor,Mortgage,03/21/2015,Web,Closed with explanation,Yes
1294475,8,Passive,Mortgage,03/21/2015,Web,Closed with explanation,Yes
1294572,8,Passive,Mortgage,03/21/2015,Web,Closed with explanation,Yes
1294573,8,Passive,Checking or savings account,03/21/2015,Web,Closed with monetary relief,Yes
1294587,5,Detractor,Mortgage,03/21/2015,Web,Closed with explanation,Yes
1294473,8,Passive,Mortgage,03/21/2015,Web,Closed with explanation,Yes
1294608,8,Passive,Checking or savings account,03/21/2015,Web,Closed with explanation,Yes
1294464,7,Passive,Credit card or prepaid card,03/21/2015,Web,Closed with explanation,Yes
1294630,4,Detractor,Mortgage,03/21/2015,Web,Closed with explanation,No
1294631,9,Promoter,Credit card or prepaid card,03/21/2015,Web,Closed with monetary relief,Yes
1294633,6,Detractor,Student loan,03/21/2015,Web,Closed with explanation,Yes
1294641,7,Passive,Mortgage,03/21/2015,Web,Closed with explanation,Yes
1294627,6,Detractor,Student loan,03/21/2015,Web,Closed with explanation,Yes
1294651,7,Passive,Mortgage,03/21/2015,Web,Closed with explanation,Yes
1304475,9,Promoter,Personal loan,03/27/2015,Web,Closed with monetary relief,Yes
1294663,7,Passive,Mortgage,03/21/2015,Web,Closed with explanation,Yes
1294666,8,Passive,Personal loan,03/21/2015,Web,Closed with explanation,Yes
1294484,8,Passive,Mortgage,03/21/2015,Web,Closed with explanation,Yes
1294682,6,Detractor,Mortgage,03/21/2015,Web,Closed with explanation,Yes
1294495,7,Passive,Credit card or prepaid card,03/21/2015,Web,Closed with explanation,Yes
1294710,5,Detractor,Mortgage,03/21/2015,Web,Closed with explanation,Yes
1304030,7,Passive,Personal loan,03/27/2015,Web,Closed with explanation,Yes
1294720,9,Promoter,Credit card or prepaid card,03/21/2015,Web,Closed with monetary relief,Yes
1303906,7,Passive,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1294727,8,Passive,Student loan,03/21/2015,Web,Closed with explanation,Yes
1304505,10,Promoter,Student loan,03/27/2015,Web,Closed with monetary relief,Yes
1294735,7,Passive,Checking or savings account,03/21/2015,Web,Closed with explanation,Yes
1304562,5,Detractor,Credit card or prepaid card,03/27/2015,Web,Closed with explanation,Yes
1294839,8,Passive,Credit card or prepaid card,03/22/2015,Web,Closed with explanation,Yes
1294848,6,Detractor,Credit card or prepaid card,03/22/2015,Web,Closed with explanation,Yes
1294857,9,Promoter,Checking or savings account,03/22/2015,Web,Closed with monetary relief,Yes
1295007,6,Detractor,Credit card or prepaid card,03/22/2015,Web,Closed with explanation,Yes
1294802,6,Detractor,Checking or savings account,03/22/2015,Web,Closed with explanation,Yes
1294866,9,Promoter,Personal loan,03/22/2015,Web,Closed with non-monetary relief,Yes
1294869,8,Passive,Checking or savings account,03/22/2015,Web,Closed with explanation,Yes
1294881,8,Passive,Mortgage,03/22/2015,Web,Closed with explanation,Yes
1314656,9,Promoter,Student loan,04/03/2015,Web,Closed with explanation,Yes
1314662,6,Detractor,Checking or savings account,04/03/2015,Web,Closed with explanation,Yes
1294831,5,Detractor,Mortgage,03/22/2015,Web,Closed with explanation,Yes
1294890,7,Passive,Student loan,03/22/2015,Web,Closed with explanation,Yes
1314407,7,Passive,Mortgage,04/03/2015,Web,Closed with explanation,Yes
1314671,6,Detractor,Credit card or prepaid card,04/03/2015,Web,Closed with explanation,Yes
1314674,7,Passive,Mortgage,04/03/2015,Web,Closed with explanation,Yes
1294899,6,Detractor,Personal loan,03/22/2015,Web,Closed with explanation,Yes
1314678,7,Passive,Checking or savings account,04/03/2015,Web,Closed with explanation,Yes
1294907,10,Promoter,Credit card or prepaid card,03/22/2015,Web,Closed with monetary relief,Yes
1304648,7,Passive,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1304654,6,Detractor,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1314684,6,Detractor,Mortgage,04/03/2015,Web,Closed,Yes
1314690,7,Passive,Credit card or prepaid card,04/03/2015,Web,Closed with explanation,Yes
1314691,8,Passive,Mortgage,04/03/2015,Web,Closed with explanation,Yes
1295021,8,Passive,Mortgage,03/22/2015,Web,Closed with explanation,Yes
1294914,7,Passive,Personal loan,03/22/2015,Web,Closed with explanation,Yes
1294916,6,Detractor,Checking or savings account,03/22/2015,Web,Closed with explanation,Yes
1314487,7,Passive,Credit card or prepaid card,04/03/2015,Web,Closed with explanation,Yes
1314692,7,Passive,Mortgage,04/03/2015,Web,Closed with explanation,Yes
1314696,3,Detractor,Personal loan,04/03/2015,Web,Closed with explanation,No
1294921,8,Passive,Personal loan,03/22/2015,Web,Closed with explanation,Yes
1314700,10,Promoter,Mortgage,04/03/2015,Web,Closed with explanation,Yes
1314561,8,Passive,Mortgage,04/03/2015,Web,Closed with explanation,Yes
1304060,7,Passive,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1294933,6,Detractor,Checking or savings account,03/22/2015,Web,Closed with explanation,Yes
1305553,9,Promoter,Credit card or prepaid card,03/27/2015,Web,Closed with explanation,Yes
1294937,7,Passive,Mortgage,03/22/2015,Web,Closed with explanation,Yes
1294938,3,Detractor,Personal loan,03/22/2015,Web,Closed with explanation,No
1314553,6,Detractor,Credit card or prepaid card,04/03/2015,Web,Closed with explanation,Yes
1314554,8,Passive,Checking or savings account,04/03/2015,Web,Closed with explanation,Yes
1314719,6,Detractor,Mortgage,04/03/2015,Web,Closed with explanation,Yes
1294950,8,Passive,Credit card or prepaid card,03/22/2015,Web,Closed with explanation,Yes
1304695,7,Passive,Credit card or prepaid card,03/27/2015,Web,Closed with explanation,Yes
1314538,7,Passive,Mortgage,04/03/2015,Web,Closed with explanation,Yes
1314508,8,Passive,Mortgage,04/03/2015,Web,Closed with explanation,Yes
1304057,8,Passive,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1294962,6,Detractor,Mortgage,03/22/2015,Web,Closed with explanation,Yes
1294961,7,Passive,Credit card or prepaid card,03/22/2015,Web,Closed with explanation,Yes
1294964,7,Passive,Mortgage,03/22/2015,Web,Closed with explanation,Yes
1314453,6,Detractor,Checking or savings account,04/03/2015,Web,Closed with explanation,Yes
1314747,10,Promoter,Mortgage,04/03/2015,Web,Closed with non-monetary relief,Yes
1294971,7,Passive,Checking or savings account,03/22/2015,Web,Closed with explanation,Yes
1314763,6,Detractor,Student loan,04/03/2015,Web,Closed with explanation,Yes
1304733,9,Promoter,Checking or savings account,03/27/2015,Web,Closed with monetary relief,Yes
1295265,7,Passive,Checking or savings account,03/23/2015,Web,Closed with explanation,Yes
1295268,7,Passive,Credit card or prepaid card,03/23/2015,Web,Closed with explanation,Yes
1295183,7,Passive,Credit card or prepaid card,03/23/2015,Web,Closed with explanation,Yes
1314792,6,Detractor,Checking or savings account,04/03/2015,Web,Closed with explanation,Yes
1314796,7,Passive,Credit card or prepaid card,04/03/2015,Web,Closed with explanation,Yes
1295286,7,Passive,Student loan,03/23/2015,Web,Closed with explanation,Yes
1295297,6,Detractor,Mortgage,03/23/2015,Web,Closed with explanation,Yes
1304788,7,Passive,Checking or savings account,03/27/2015,Web,Closed with explanation,Yes
1295304,9,Promoter,Credit card or prepaid card,03/23/2015,Web,Closed with explanation,Yes
1295204,7,Passive,Mortgage,03/23/2015,Web,Closed with explanation,Yes
1295316,8,Passive,Student loan,03/23/2015,Web,Closed with explanation,Yes
1295318,10,Promoter,Mortgage,03/23/2015,Web,Closed with non-monetary relief,Yes
1305546,7,Passive,Personal loan,03/27/2015,Web,Closed with explanation,Yes
1314871,8,Passive,Mortgage,04/03/2015,Web,Closed with non-monetary relief,Yes
1304837,5,Detractor,Credit card or prepaid card,03/27/2015,Web,Closed with explanation,Yes
1314904,8,Passive,Mortgage,04/03/2015,Web,Closed with non-monetary relief,Yes
1314927,8,Passive,Student loan,04/03/2015,Web,Closed with explanation,Yes
1295325,8,Passive,Checking or savings account,03/23/2015,Web,Closed with explanation,Yes
1314932,5,Detractor,Personal loan,04/03/2015,Web,Closed with explanation,Yes
1304116,8,Passive,Personal loan,03/27/2015,Web,Closed with explanation,Yes
1304892,7,Passive,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1295343,6,Detractor,Credit card or prepaid card,03/23/2015,Web,Closed with explanation,Yes
1303992,6,Detractor,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1304896,9,Promoter,Credit card or prepaid card,03/27/2015,Web,Closed with monetary relief,Yes
1314420,7,Passive,Mortgage,04/03/2015,Web,Closed with explanation,Yes
1296922,7,Passive,Mortgage,03/23/2015,Web,Closed with explanation,Yes
1305566,8,Passive,Credit card or prepaid card,03/27/2015,Web,Closed with explanation,Yes
1314974,6,Detractor,Credit card or prepaid card,04/03/2015,Web,Closed with explanation,Yes
1304946,6,Detractor,Checking or savings account,03/27/2015,Web,Closed with explanation,Yes
1295414,8,Passive,Mortgage,03/23/2015,Web,Closed with explanation,Yes
1304971,7,Passive,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1316328,8,Passive,Student loan,04/03/2015,Web,Closed with explanation,Yes
1315020,9,Promoter,Credit card or prepaid card,04/03/2015,Web,Closed with explanation,Yes
1315025,7,Passive,Checking or savings account,04/03/2015,Web,Closed with explanation,Yes
1295179,6,Detractor,Mortgage,03/23/2015,Web,Closed,Yes
1315027,7,Passive,Mortgage,04/03/2015,Web,Closed with explanation,Yes
1315028,6,Detractor,Personal loan,04/03/2015,Web,Closed with explanation,Yes
1304692,8,Passive,Mortgage,03/27/2015,Web,Closed with explanation,Yes
1305530,9,Promoter,Credit card or prepaid card,03/27/2015,Web,Closed with explanation,Yes
1295442,7,Passive,Mortgage,03/23/2015,Web,Closed,Yes
1315052,6,Detractor,Credit card or prepaid card,04/03/2015,Web,Closed with explanation,Yes
1315061,7,Passive,Credit card or prepaid card,04/03/2015,Web,Closed with explanation,Yes
1315070,8,Passive,Credit card or prepaid card,04/03/2015,Web,Closed with monetary relief,Yes
1316199,9,Promoter,Mortgage,04/03/2015,Web,Closed with explanation,Yes
